result,table,_start,_stop,_time,_measurement,location,session_id,flow_rate,pressure,pump_rpm,pump_state,setpoint,temperature
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:30.698295+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:31.212745+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:31.727145+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:32.242462+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:32.759386+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:33.273823+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:33.789117+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:34.305259+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:34.819688+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:35.336782+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:35.854274+00:00,process_state,pump_station_01,171cd3d1,12.1,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:36.371691+00:00,process_state,pump_station_01,171cd3d1,12.1,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:36.889667+00:00,process_state,pump_station_01,171cd3d1,12.1,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:37.406781+00:00,process_state,pump_station_01,171cd3d1,12.1,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:37.922040+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:38.439046+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:38.955144+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:39.469582+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:39.984668+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:40.500319+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:41.021303+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:41.536834+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:42.050432+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:42.566065+00:00,process_state,pump_station_01,171cd3d1,11.8,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:43.083020+00:00,process_state,pump_station_01,171cd3d1,11.8,132.0,1200.0,running,200.0,24.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:43.599559+00:00,process_state,pump_station_01,171cd3d1,11.8,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:44.115688+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:44.631331+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:45.145515+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:45.659692+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:46.173411+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:46.687785+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:47.201497+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:47.715692+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:48.230784+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:48.746316+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:49.260228+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:49.775432+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:50.289302+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:50.804658+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:51.320739+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:51.836610+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:52.351508+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:52.867177+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:53.382740+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:53.898079+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:54.415288+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:54.931279+00:00,process_state,pump_station_01,171cd3d1,12.1,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:55.445289+00:00,process_state,pump_station_01,171cd3d1,12.1,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:55.960434+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:56.473512+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:56.988477+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:57.503436+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:58.019422+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:58.535478+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:59.051047+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:24:59.566890+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:00.080978+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:00.596093+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:01.111888+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:01.627389+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:02.144360+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:02.658426+00:00,process_state,pump_station_01,171cd3d1,12.0,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:03.172020+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:03.687668+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:04.203085+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:04.717391+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:05.230656+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:05.747682+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:06.262750+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:06.778722+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:07.294546+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:07.808930+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:08.323494+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:08.840631+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:09.357173+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:09.872667+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:10.386774+00:00,process_state,pump_station_01,171cd3d1,11.9,132.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:10.902410+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:11.416328+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:11.931445+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:12.446799+00:00,process_state,pump_station_01,171cd3d1,12.0,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:12.962117+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:13.476425+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:13.993138+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:25:14.508803+00:00,process_state,pump_station_01,171cd3d1,11.9,131.0,1200.0,running,200.0,25.0
