result,table,_start,_stop,_time,_measurement,protocol,remote_ip,session_id,detail,event_type
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:03:57.132463+00:00,honeypot_events,S7comm,172.23.0.3,cc5b9127,S7/COTP connection (tcp-monitor(state=01)),probe
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:27.359490+00:00,honeypot_events,S7comm,172.23.0.3,cc5b9127,S7/COTP connection (tcp-monitor(state=01)),probe
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:59.188501+00:00,honeypot_events,S7comm,172.23.0.3,cc5b9127,S7/COTP connection (tcp-monitor(state=01)),probe
