ML cycle complete — 1 sample scored, anomaly=0, score=0.3893
ML cycle complete — 1 sample scored, anomaly=0, score=0.3878
ML cycle complete — 1 sample scored, anomaly=0, score=0.3854
ML cycle complete — 1 sample scored, anomaly=0, score=0.3646
ML cycle complete — 1 sample scored, anomaly=0, score=0.3880
ML cycle complete — 1 sample scored, anomaly=0, score=0.3733
ML cycle complete — 1 sample scored, anomaly=0, score=0.3873
ML cycle complete — 1 sample scored, anomaly=0, score=0.3798
ML cycle complete — 1 sample scored, anomaly=0, score=0.3889
!!! REPLAY ATTACK DETECTED !!! Replay attack: value 132.0 PSI appeared 44/59 times (75%) in 30 s — frozen telemetry injection
ML cycle complete — 1 sample scored, anomaly=0, score=0.3868
ML cycle complete — 1 sample scored, anomaly=0, score=0.3669
ML cycle complete — 1 sample scored, anomaly=0, score=0.3887
ML cycle complete — 1 sample scored, anomaly=0, score=0.3878
ML cycle complete — 1 sample scored, anomaly=0, score=0.3886
ML cycle complete — 1 sample scored, anomaly=0, score=0.3900
ML cycle complete — 1 sample scored, anomaly=0, score=0.3892
ML cycle complete — 1 sample scored, anomaly=0, score=0.3885
ML cycle complete — 1 sample scored, anomaly=0, score=0.3873
!!! REPLAY ATTACK DETECTED !!! Replay attack: value 132.0 PSI appeared 42/58 times (72%) in 30 s — frozen telemetry injection
ML cycle complete — 1 sample scored, anomaly=0, score=0.3881
ML cycle complete — 1 sample scored, anomaly=0, score=0.3885
ML cycle complete — 1 sample scored, anomaly=0, score=0.3901
ML cycle complete — 1 sample scored, anomaly=0, score=0.3778
ML cycle complete — 1 sample scored, anomaly=0, score=0.3880
ML cycle complete — 1 sample scored, anomaly=0, score=0.3729
ML cycle complete — 1 sample scored, anomaly=0, score=0.3772
ML cycle complete — 1 sample scored, anomaly=0, score=0.3727
ML cycle complete — 1 sample scored, anomaly=0, score=0.3772
!!! REPLAY ATTACK DETECTED !!! Replay attack: value 131.0 PSI appeared 29/58 times (50%) in 30 s — frozen telemetry injection
ML cycle complete — 1 sample scored, anomaly=0, score=0.3775
ML cycle complete — 1 sample scored, anomaly=0, score=0.3786
ML cycle complete — 1 sample scored, anomaly=0, score=0.3754
ML cycle complete — 1 sample scored, anomaly=0, score=0.3747
ML cycle complete — 1 sample scored, anomaly=0, score=0.3790
ML cycle complete — 1 sample scored, anomaly=0, score=0.3882
ML cycle complete — 1 sample scored, anomaly=0, score=0.3894
ML cycle complete — 1 sample scored, anomaly=0, score=0.3893
