result,table,_start,_stop,_time,_measurement,session_id,source,register,value,layer
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:04.480823+00:00,forced_writes,b8e88bbd,modbus_write,201,100.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:19.486093+00:00,forced_writes,b8e88bbd,modbus_write,200,1200.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:19.491180+00:00,forced_writes,b8e88bbd,modbus_write,201,500.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:17.584678+00:00,forced_writes,b8e88bbd,modbus_write,100,229.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:22.588657+00:00,forced_writes,b8e88bbd,modbus_write,100,233.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:27.593978+00:00,forced_writes,b8e88bbd,modbus_write,100,237.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:32.599309+00:00,forced_writes,b8e88bbd,modbus_write,100,241.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:37.604626+00:00,forced_writes,b8e88bbd,modbus_write,100,245.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:42.609823+00:00,forced_writes,b8e88bbd,modbus_write,100,249.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:47.615271+00:00,forced_writes,b8e88bbd,modbus_write,100,253.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:52.619150+00:00,forced_writes,b8e88bbd,modbus_write,100,257.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:19:57.624457+00:00,forced_writes,b8e88bbd,modbus_write,100,261.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:20:02.630585+00:00,forced_writes,b8e88bbd,modbus_write,100,265.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:20:07.635643+00:00,forced_writes,b8e88bbd,modbus_write,100,269.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:20:12.639296+00:00,forced_writes,b8e88bbd,modbus_write,100,273.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:20:17.644442+00:00,forced_writes,b8e88bbd,modbus_write,100,277.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:20:22.649480+00:00,forced_writes,b8e88bbd,modbus_write,100,281.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:35:57.840505+00:00,forced_writes,b8e88bbd,modbus_write,100,285.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:03.845760+00:00,forced_writes,b8e88bbd,modbus_write,100,289.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:09.851238+00:00,forced_writes,b8e88bbd,modbus_write,100,293.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:15.856370+00:00,forced_writes,b8e88bbd,modbus_write,100,297.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:21.861955+00:00,forced_writes,b8e88bbd,modbus_write,100,301.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:27.867070+00:00,forced_writes,b8e88bbd,modbus_write,100,305.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:33.871215+00:00,forced_writes,b8e88bbd,modbus_write,100,309.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:39.876456+00:00,forced_writes,b8e88bbd,modbus_write,100,313.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:45.881852+00:00,forced_writes,b8e88bbd,modbus_write,100,317.0,
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:36:51.887214+00:00,forced_writes,b8e88bbd,modbus_write,100,321.0,
