result,table,_start,_stop,_time,_measurement,service,session_id,src_ip,detail
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:02.530268+00:00,auth_attempts,s7comm,f193e747,172.24.0.3,probe: S7/COTP connection (tcp-monitor(state=01))
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:32.755237+00:00,auth_attempts,s7comm,f193e747,172.24.0.3,probe: S7/COTP connection (tcp-monitor(state=01))
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:04.590751+00:00,auth_attempts,s7comm,f193e747,172.24.0.3,probe: S7/COTP connection (tcp-monitor(state=01))
