result,table,_start,_stop,_time,_measurement,attack_type,session_id,status
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:18:58.871412+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:21:12.735825+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:23:26.668074+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:26:13.958506+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:34:53.841891+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:49:08.985159+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:51:22.874819+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:53:36.789433+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:55:50.589105+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 01:58:04.609519+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:03:56.536004+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:19:18.605283+00:00,attack_status,REPLAY,a12aafb3,DETECTED
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-25 02:35:14.495160+00:00,attack_status,REPLAY,a12aafb3,DETECTED
