result,table,_start,_stop,_time,_measurement,protocol,remote_ip,session_id,detail,event_type
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:34:31.089806+00:00,honeypot_events,S7comm,172.22.0.2,805856ef,S7/COTP connection (tcp-monitor(state=01)),probe
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:35:01.296071+00:00,honeypot_events,S7comm,172.22.0.2,805856ef,S7/COTP connection (tcp-monitor(state=01)),probe
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:35:33.110745+00:00,honeypot_events,S7comm,172.22.0.2,805856ef,S7/COTP connection (tcp-monitor(state=01)),probe
